com.model.d3.D3Graph@fcc5b1Atype	Agroup	Aid	Aname	Btype	Bgroup	Bid	Bname
mp	MP:0005387	MP:0002442	abnormal leukocyte physiology	mp	MP:0005387	MP:0003945	abnormal lymphocyte physiology
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	ATP6V1E2	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2AH	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	GM14920	null
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	ATP6V1E1	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2AG	null
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0005027	increased susceptibility to parasitic infection
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-Q8	null
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	IL2RG	null
mp	MP:0005387	MP:0003762	abnormal immune organ physiology	mp	MP:0005387	MP:0003763	abnormal thymus physiology
mp	MP:0005387	MP:0002444	abnormal T cell physiology	mp	MP:0005387	MP:0008051	abnormal memory T cell physiology
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-Q7	null
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-Q6	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BA	null
gene	IMMUNE DISEASES	HIST1H2BA	null	ppi	ppi	319177	319177
mp	MP:0005387	MP:0008166	abnormal B-2 B cell morphology	mp	MP:0005387	MP:0008206	increased B-2 B cell number
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0008075	decreased CD4-positive, alpha beta T cell number
pathway	HUMAN DISEASES	mmu05340	PRIMARY IMMUNODEFICIENCY	gene	IMMUNE DISEASES	DCLRE1C	null
gene	IMMUNE DISEASES	CD3D	null	ppi	ppi	12500	12500
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0008079	decreased CD8-positive, alpha-beta T cell number
mp	MP:0005387	MP:0008166	abnormal B-2 B cell morphology	mp	MP:0005387	MP:0008207	decreased B-2 B cell number
mp	MP:0005387	MP:0008754	abnormal T cell receptor V(D)J recombination	mp	MP:0005387	MP:0008759	abnormal T cell receptor delta chain V(D)J recombination
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BQ	null
mp	MP:0005387	MP:0008754	abnormal T cell receptor V(D)J recombination	mp	MP:0005387	MP:0008758	abnormal T cell receptor beta chain V(D)J recombination
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001869	pancreas inflammation
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BP	null
mp	MP:0005387	MP:0003763	abnormal thymus physiology	mp	MP:0005387	MP:0009258	abnormal thymocyte apoptosis
mp	MP:0005387	MP:0008754	abnormal T cell receptor V(D)J recombination	mp	MP:0005387	MP:0008757	abnormal T cell receptor gamma chain V-J recombination
mp	MP:0005387	MP:0008754	abnormal T cell receptor V(D)J recombination	mp	MP:0005387	MP:0008756	abnormal T cell receptor alpha chain V-J recombination
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BN	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BM	null
mp	MP:0005387	MP:0008243	abnormal macrophage derived foam cell morphology	mp	MP:0005387	MP:0004778	increased macrophage derived foam cell number
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0004762	increased anti-double stranded DNA antibody level
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BL	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BK	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BJ	null
mp	MP:0005387	MP:0008038	abnormal NK T cell number	mp	MP:0005387	MP:0008039	increased NK T cell number
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BH	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BG	null
gene	IMMUNE DISEASES	IKBKG	null	mp	MP:0005387	MP:0004947	skin inflammation
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BF	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BE	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	TNF	null
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-T3	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BC	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BB	null
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-T9	null
mp	MP:0005387	MP:0002444	abnormal T cell physiology	mp	MP:0005387	MP:0008042	abnormal NK T cell physiology
mp	MP:0005387	MP:0000703	abnormal thymus morphology	mp	MP:0005387	MP:0002368	abnormal thymus capsule morphology
mp	MP:0005387	MP:0000703	abnormal thymus morphology	mp	MP:0005387	MP:0002367	abnormal thymus lobule morphology
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	H2-AA	null
mp	MP:0005387	MP:0008539	decreased susceptibility to induced colitis	mp	MP:0005387	MP:0013299	decreased susceptibility to colitis induced morbidity/mortality
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0005016	decreased lymphocyte cell number
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001873	stomach inflammation
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001870	salivary gland inflammation
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	HIST1H2BR	null
gene	IMMUNE DISEASES	C8A	null	ppi	ppi	230558	230558
mp	MP:0005387	MP:0002389	abnormal Peyer's patch follicle morphology	mp	MP:0005387	MP:0002391	abnormal Peyer's patch germinal center morphology
mp	MP:0005387	MP:0002389	abnormal Peyer's patch follicle morphology	mp	MP:0005387	MP:0002392	abnormal Peyer's patch T cell area morphology
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0008479	decreased spleen white pulp amount
mp	MP:0005387	MP:0013593	enlarged thymus cortex	mp	MP:0005387	MP:0009559	thymus cortex hyperplasia
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001853	heart inflammation
gene	IMMUNE DISEASES	CCL2	null	mp	MP:0005387	MP:0004984	increased osteoclast cell number
gene	IMMUNE DISEASES	TGFB2	null	mp	MP:0005387	MP:0002451	abnormal macrophage physiology
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	ATP6V1G2	null
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	ATP6V1G1	null
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0005002	abnormal T cell clonal deletion
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	ATP6V1G3	null
gene	IMMUNE DISEASES	ICOS	null	mp	MP:0005387	MP:0002490	abnormal immunoglobulin level
mp	MP:0005387	MP:0012770	abnormal effector memory CD4-positive, alpha-beta T cell number	mp	MP:0005387	MP:0010845	decreased effector memory CD4-positive, alpha-beta T cell number
mp	MP:0005387	MP:0012770	abnormal effector memory CD4-positive, alpha-beta T cell number	mp	MP:0005387	MP:0010844	increased effector memory CD4-positive, alpha-beta T cell number
gene	IMMUNE DISEASES	ICOS	null	mp	MP:0005387	MP:0002492	decreased IgE level
gene	IMMUNE DISEASES	H2-EB1	null	ppi	ppi	14969	14969
gene	IMMUNE DISEASES	TNF	null	mp	MP:0005387	MP:0001823	thymus hypoplasia
gene	IMMUNE DISEASES	ATP6V1E2	null	ppi	ppi	74915	74915
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0001790	abnormal immune system physiology
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0004771	increased anti-single stranded DNA antibody level
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001861	lung inflammation
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001860	liver inflammation
pathway	HUMAN DISEASES	mmu05340	PRIMARY IMMUNODEFICIENCY	gene	IMMUNE DISEASES	IKBKG	null
ppi	ppi	14281	14281	ppi	ppi	16476	16476
gene	IMMUNE DISEASES	RAG2	null	ppi	ppi	19374	19374
mp	MP:0005387	MP:0008345	abnormal gamma-delta T cell number	mp	MP:0005387	MP:0013419	abnormal CD5-positive gamma-delta T cell number
mp	MP:0005387	MP:0008043	abnormal NK cell number	mp	MP:0005387	MP:0008044	increased NK cell number
mp	MP:0005387	MP:0005088	increased acute inflammation	mp	MP:0005387	MP:0008735	increased susceptibility to endotoxin shock
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001845	abnormal inflammatory response
mp	MP:0005387	MP:0002367	abnormal thymus lobule morphology	mp	MP:0005387	MP:0009543	abnormal thymus corticomedullary boundary morphology
mp	MP:0005387	MP:0008043	abnormal NK cell number	mp	MP:0005387	MP:0008045	decreased NK cell number
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001847	brain inflammation
mp	MP:0005387	MP:0008345	abnormal gamma-delta T cell number	mp	MP:0005387	MP:0013416	abnormal memory-marker gamma-delta T cell number
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	LTB	null
gene	IMMUNE DISEASES	GRIN2A	null	ppi	ppi	14811	14811
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001851	eye inflammation
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0001852	conjunctivitis
gene	IMMUNE DISEASES	TNF	null	mp	MP:0005387	MP:0003944	abnormal T cell subpopulation ratio
mp	MP:0005387	MP:0009625	abnormal abdominal lymph node morphology	mp	MP:0005387	MP:0009626	abnormal celiac lymph node morphology
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	CTLA4	null
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H2-M10.3	null
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H2-M10.4	null
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H2-M10.1	null
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H2-M10.2	null
mp	MP:0005387	MP:0002339	abnormal lymph node morphology	mp	MP:0005387	MP:0002348	abnormal lymph node medulla morphology
mp	MP:0005387	MP:0002410	decreased susceptibility to viral infection	mp	MP:0005387	MP:0009790	decreased susceptibility to viral infection induced morbidity/mortality
mp	MP:0005387	MP:0002339	abnormal lymph node morphology	mp	MP:0005387	MP:0002343	abnormal lymph node cortex morphology
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H2-M10.5	null
mp	MP:0005387	MP:0002339	abnormal lymph node morphology	mp	MP:0005387	MP:0002342	abnormal lymph node trabecula morphology
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H2-M10.6	null
mp	MP:0005387	MP:0001869	pancreas inflammation	mp	MP:0005387	MP:0003340	acute pancreas inflammation
mp	MP:0005387	MP:0001869	pancreas inflammation	mp	MP:0005387	MP:0003341	chronic pancreas inflammation
mp	MP:0005387	MP:0020201	abnormal granulocyte number	mp	MP:0005387	MP:0012440	abnormal neutrophil cell number
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-M9	null
mp	MP:0005387	MP:0001879	abnormal lymphatic vessel morphology	mp	MP:0005387	MP:0010200	enlarged lymphatic vessel
gene	IMMUNE DISEASES	IFNA9	null	ppi	ppi	15972	15972
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	CD40LG	null
mp	MP:0005387	MP:0002500	granulomatous inflammation	mp	MP:0005387	MP:0009824	spermatic granuloma
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-M1	null
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-M2	null
mp	MP:0005387	MP:0020201	abnormal granulocyte number	mp	MP:0005387	MP:0012442	abnormal basophil cell number
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-M3	null
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0008217	abnormal B cell activation
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0008215	decreased immature B cell number
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-OB	null
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0005093	decreased B cell proliferation
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0008071	absent B cells
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0003725	increased autoantibody level
mp	MP:0005387	MP:0011224	abnormal lymph node medullary cord morphology	mp	MP:0005387	MP:0011225	lymph node medullary cord hyperplasia
mp	MP:0005387	MP:0002993	arthritis	mp	MP:0005387	MP:0003560	osteoarthritis
gene	IMMUNE DISEASES	H2AFB1	null	ppi	ppi	68231	68231
gene	IMMUNE DISEASES	TNF	null	mp	MP:0005387	MP:0001876	decreased inflammatory response
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0002391	abnormal Peyer's patch germinal center morphology
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0001825	arrested T cell differentiation
mp	MP:0005387	MP:0002401	abnormal lymphopoiesis	mp	MP:0005387	MP:0008053	abnormal NK cell differentiation
mp	MP:0005387	MP:0020201	abnormal granulocyte number	mp	MP:0005387	MP:0020203	abnormal mast cell number
mp	MP:0005387	MP:0008049	increased memory T cell number	mp	MP:0005387	MP:0010838	increased CD8-positive, alpha-beta memory T cell number
mp	MP:0005387	MP:0002471	abnormal complement pathway	mp	MP:0005387	MP:0009062	impaired lectin complement pathway
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0008212	absent mature B cells
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0001823	thymus hypoplasia
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0008211	decreased mature B cell number
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0001807	decreased IgA level
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0001806	decreased IgM level
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0008079	decreased CD8-positive, alpha-beta T cell number
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0008075	decreased CD4-positive, alpha beta T cell number
gene	IMMUNE DISEASES	H2-M1	null	ppi	ppi	224756	224756
mp	MP:0005387	MP:0008127	decreased dendritic cell number	mp	MP:0005387	MP:0008122	decreased myeloid dendritic cell number
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0008596	increased circulating interleukin-6 level
ppi	ppi	19373	19373	ppi	ppi	19373	19373
mp	MP:0005387	MP:0001793	altered susceptibility to infection	mp	MP:0005387	MP:0020187	altered susceptibility to prion infection
mp	MP:0005387	MP:0009333	abnormal splenocyte physiology	mp	MP:0005387	MP:0009340	abnormal splenocyte apoptosis
gene	IMMUNE DISEASES	C3	null	mp	MP:0005387	MP:0001860	liver inflammation
mp	MP:0005387	MP:0001793	altered susceptibility to infection	mp	MP:0005387	MP:0020183	altered susceptibility to fungal infection
mp	MP:0005387	MP:0001793	altered susceptibility to infection	mp	MP:0005387	MP:0020184	altered susceptibility to parasitic infection
mp	MP:0005387	MP:0001793	altered susceptibility to infection	mp	MP:0005387	MP:0020185	altered susceptibility to viral infection
mp	MP:0005387	MP:0001793	altered susceptibility to infection	mp	MP:0005387	MP:0020186	altered susceptibility to bacterial infection
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-OA	null
gene	IMMUNE DISEASES	PTPRC	null	mp	MP:0005387	MP:0000702	enlarged lymph nodes
gene	IMMUNE DISEASES	PTPRC	null	mp	MP:0005387	MP:0008217	abnormal B cell activation
ppi	ppi	16151	16151	ppi	ppi	21898	21898
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0008203	absent B-1a cells
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0008827	abnormal thymus cell ratio
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0008828	abnormal lymph node cell ratio
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0001601	abnormal myelopoiesis
gene	IMMUNE DISEASES	IL23R	null	ppi	ppi	209590	209590
mp	MP:0005387	MP:0001879	abnormal lymphatic vessel morphology	mp	MP:0005387	MP:0008778	abnormal lymphangiogenesis
mp	MP:0005387	MP:0009333	abnormal splenocyte physiology	mp	MP:0005387	MP:0009334	abnormal splenocyte proliferation
mp	MP:0005387	MP:0008188	abnormal transitional stage B cell morphology	mp	MP:0005387	MP:0009921	abnormal transitional stage T3 B cell morphology
mp	MP:0005387	MP:0008188	abnormal transitional stage B cell morphology	mp	MP:0005387	MP:0009920	abnormal transitional stage T2 B cell morphology
gene	IMMUNE DISEASES	MAF	null	ppi	ppi	17132	17132
gene	IMMUNE DISEASES	ITGB2L	null	ppi	ppi	16415	16415
gene	IMMUNE DISEASES	HIST1H2BR	null	ppi	ppi	665622	665622
mp	MP:0005387	MP:0008078	increased CD8-positive, alpha-beta T cell number	mp	MP:0005387	MP:0010672	increased Tc17 cell number
mp	MP:0005387	MP:0002254	reproductive system inflammation	mp	MP:0005387	MP:0013143	penis inflammation
gene	IMMUNE DISEASES	BTK	null	mp	MP:0005387	MP:0000694	spleen hypoplasia
gene	IMMUNE DISEASES	EPX	null	ppi	ppi	13861	13861
gene	IMMUNE DISEASES	H2BFM	null	ppi	ppi	69389	69389
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0005094	abnormal T cell proliferation
mp	MP:0005387	MP:0005089	decreased double-negative T cell number	mp	MP:0005387	MP:0008072	absent double-negative T cells
ppi	ppi	11964	11964	ppi	ppi	60595	60595
mp	MP:0005387	MP:0008588	abnormal circulating interleukin level	mp	MP:0005387	MP:0009059	abnormal circulating interleukin-21 level
mp	MP:0005387	MP:0003079	decreased susceptibility to induced joint inflammation	mp	MP:0005387	MP:0003436	decreased susceptibility to induced arthritis
mp	MP:0005387	MP:0011222	abnormal lymph node medullary sinus morphology	mp	MP:0005387	MP:0011223	dilated lymph node medullary sinus
gene	IMMUNE DISEASES	ICOS	null	mp	MP:0005387	MP:0008502	increased IgG3 level
mp	MP:0005387	MP:0005087	decreased acute inflammation	mp	MP:0005387	MP:0008734	decreased susceptibility to endotoxin shock
mp	MP:0005387	MP:0008625	abnormal circulating interleukin-5 level	mp	MP:0005387	MP:0008626	increased circulating interleukin-5 level
mp	MP:0005387	MP:0002221	abnormal lymph organ size	mp	MP:0005387	MP:0002364	abnormal thymus size
mp	MP:0005387	MP:0008625	abnormal circulating interleukin-5 level	mp	MP:0005387	MP:0008627	decreased circulating interleukin-5 level
gene	IMMUNE DISEASES	TCIRG1	null	ppi	ppi	27060	27060
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0008046	absent NK cells
mp	MP:0005387	MP:0008363	decreased CD8-positive, gamma-delta intraepithelial T cell number	mp	MP:0005387	MP:0008364	absent CD8-positive, gamma-delta intraepithelial T cells
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0008880	lacrimal gland inflammation
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0003304	large intestinal inflammation
gene	IMMUNE DISEASES	KLRA3	null	ppi	ppi	16634	16634
mp	MP:0005387	MP:0006387	abnormal T cell number	mp	MP:0005387	MP:0008345	abnormal gamma-delta T cell number
mp	MP:0005387	MP:0008359	decreased CD4-positive, gamma-delta intraepithelial T cell number	mp	MP:0005387	MP:0008360	absent CD4-positive, gamma-delta intraepithelial T cells
mp	MP:0005387	MP:0001849	ear inflammation	mp	MP:0005387	MP:0001850	increased susceptibility to otitis media
mp	MP:0005387	MP:0001851	eye inflammation	mp	MP:0005387	MP:0005515	uveitis
gene	IMMUNE DISEASES	IL10	null	ppi	ppi	16153	16153
mp	MP:0005387	MP:0008212	absent mature B cells	mp	MP:0005387	MP:0008094	absent memory B cells
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0005016	decreased lymphocyte cell number
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0008599	increased circulating interleukin-2 level
mp	MP:0005387	MP:0001846	increased inflammatory response	mp	MP:0005387	MP:0005190	osteomyelitis
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0005017	decreased B cell number
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0008596	increased circulating interleukin-6 level
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-EB1	null
mp	MP:0005387	MP:0020203	abnormal mast cell number	mp	MP:0005387	MP:0000336	decreased mast cell number
gene	IMMUNE DISEASES	H2-DMA	null	ppi	ppi	14998	14998
mp	MP:0005387	MP:0002446	abnormal macrophage morphology	mp	MP:0005387	MP:0000136	abnormal microglial cell morphology
mp	MP:0005387	MP:0001844	autoimmune response	mp	MP:0005387	MP:0003561	rheumatoid arthritis
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	CD28	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	IFNG	null
mp	MP:0005387	MP:0005461	abnormal dendritic cell morphology	mp	MP:0005387	MP:0006173	abnormal myeloid dendritic cell morphology
ppi	ppi	12229	12229	ppi	ppi	17060	17060
mp	MP:0005387	MP:0000689	abnormal spleen morphology	mp	MP:0005387	MP:0008739	abnormal spleen iron level
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0008037	abnormal T cell morphology
mp	MP:0005387	MP:0008668	abnormal interleukin-12b secretion	mp	MP:0005387	MP:0008669	increased interleukin-12b secretion
mp	MP:0005387	MP:0002353	abnormal inguinal lymph node morphology	mp	MP:0005387	MP:0009624	small inguinal lymph nodes
gene	IMMUNE DISEASES	TEK	null	ppi	ppi	21687	21687
gene	IMMUNE DISEASES	H2-T9	null	ppi	ppi	15051	15051
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0002619	abnormal lymphocyte morphology
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0001601	abnormal myelopoiesis
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0005095	decreased T cell proliferation
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0008879	submandibular gland inflammation
gene	IMMUNE DISEASES	IL17A	null	ppi	ppi	16171	16171
mp	MP:0005387	MP:0002353	abnormal inguinal lymph node morphology	mp	MP:0005387	MP:0009623	enlarged inguinal lymph nodes
mp	MP:0005387	MP:0001793	altered susceptibility to infection	mp	MP:0005387	MP:0009785	altered susceptibility to infection induced morbidity/mortality
mp	MP:0005387	MP:0002353	abnormal inguinal lymph node morphology	mp	MP:0005387	MP:0009622	absent inguinal lymph nodes
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0003306	small intestinal inflammation
mp	MP:0005387	MP:0011719	abnormal natural killer cell mediated cytotoxicity	mp	MP:0005387	MP:0003080	increased natural killer cell mediated cytotoxicity
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	H2-EB1	null
mp	MP:0005387	MP:0008054	abnormal uterine NK cell morphology	mp	MP:0005387	MP:0008876	decreased uterine NK cell number
mp	MP:0005387	MP:0001846	increased inflammatory response	mp	MP:0005387	MP:0004510	myositis
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0005078	abnormal cytotoxic T cell physiology
gene	IMMUNE DISEASES	HIST1H2BK	null	ppi	ppi	319184	319184
mp	MP:0005387	MP:0001844	autoimmune response	mp	MP:0005387	MP:0002425	altered susceptibility to autoimmune disorder
mp	MP:0005387	MP:0000703	abnormal thymus morphology	mp	MP:0005387	MP:0003007	ectopic thymus
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0008049	increased memory T cell number
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0005092	decreased double-positive T cell number
ppi	ppi	11964	11964	ppi	ppi	109711	109711
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-K1	null
gene	IMMUNE DISEASES	C3	null	mp	MP:0005387	MP:0009788	increased susceptibility to bacterial infection induced morbidity/mortality
gene	IMMUNE DISEASES	JAK3	null	mp	MP:0005387	MP:0008024	absent lymph nodes
mp	MP:0005387	MP:0008188	abnormal transitional stage B cell morphology	mp	MP:0005387	MP:0009919	abnormal transitional stage T1 B cell morphology
gene	IMMUNE DISEASES	IL4	null	mp	MP:0005387	MP:0001870	salivary gland inflammation
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	CD40	null
mp	MP:0005387	MP:0008048	abnormal memory T cell number	mp	MP:0005387	MP:0008049	increased memory T cell number
mp	MP:0005387	MP:0008345	abnormal gamma-delta T cell number	mp	MP:0005387	MP:0013422	abnormal KLRG1-positive gamma-delta T cell number
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0008826	abnormal splenic cell ratio
